,Chemin,Nom,Taille (# classes),Taille (NCLOC),Taille (CLOC),ANA,NOM,NOA,ITC,ETC,CAC,DIT,CLD,NOC,NOD
,src\model,Attribut,5,34,38,0.714285714,7,2,0,1,3,0,0,0,0
,src\metriques,Metriques,2,174,125,0.888888889,18,3,11,0,2,0,0,0,0
,src\model,Relation,5,25,32,0.5,6,2,0,1,1,0,0,0,0
,src\view,Ui,2,308,82,1.222222222,9,19,0,0,0,0,0,0,0
,src\Test,Test,1,361,154,2.409090909,22,25,1,0,0,0,0,0,0
,src\model,Classe,5,67,75,0.705882353,17,6,3,12,5,0,0,0,0
,src\model,Method,5,68,53,0.8,10,3,1,0,3,0,0,0,0
,src\metriques,CsvGenerator,2,57,38,0.75,4,9,0,0,1,0,0,0,0
,src\view,Main,2,12,3,0,0,0,0,0,0,0,0,0,0
,src\model,Parser,5,221,78,1.375,8,7,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,
Minimum,,,1,12,3,0,0,0,0,0,0,0,0,0,0
Maximum,,,5,361,154,2.409090909,22,25,11,12,5,0,0,0,0
Moyenne,,,3.4,132.7,67.8,0.936537009,10.1,7.6,1.6,1.4,1.6,0,0,0,0
Mode,,,5,#N/A,38,#N/A,#N/A,2,0,0,1,0,0,0,0
Médiane,,,3.5,67.5,64,0.775,8.5,4.5,0,0,1,0,0,0,0
Moyenne Géométrique,,,2.950509385,80.4277313,48.21159225,0,0,0,0,0,0,0,0,0,0
Moyenne Harmonique,,,2.5,46.2515302,20.45302169,0,0,0,0,0,0,0,0,0,0
Écart Type,,,1.712697677,125.828852,45.3818368,0.638422789,6.854844191,8.167687011,3.438345856,3.747591819,1.646545205,0,0,0,0
